REZ,Solar renewable potential (MW),Wind renewable potential (MW),Existing solar,Progressive solar 2029030,Progressive solar 2039040,Progressive solar 2049050,Step change solar 2029030,Step change solar 2039040,Step change solar 2049050,Green energy solar 2029-30,Green energy solar 2039-40,Green energy solar 2049-50,Existing wind,Progressive wind 2029030,Progressive wind 2039040,Progressive wind 2049050,Step change wind 2029030,Step change wind 2039040,Step change wind 2049050,Green energy wind 2029-30,Green energy wind 2039-40,Green energy wind 2049-50
N1,6385,0,166,50,50,100,0,50,100,50,3650,6000,0,0,0,0,0,0,0,0,0,0
N2,2950,7400,855,50,500,3000,0,2400,5400,2300,2400,2400,442,3050,3600,7400,3000,7400,7400,4550,8700,9150
N3,6850,3000,1497,1700,1950,6100,1450,4400,6850,2950,6100,6650,673,3700,3700,4200,5450,5450,7800,6700,6800,7500
N4,8000,5100,53,200,200,350,150,150,400,200,200,400,198,100,100,100,100,100,150,150,150,150
N5,2256,3900,1122,700,700,2250,1150,1150,2250,800,2150,2250,0,450,450,450,600,600,1000,1000,1000,1000
N6,1028,1000,456,0,0,0,100,100,500,500,500,500,0,0,0,0,0,0,0,0,0,0
N7,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0
N8,0,300,0,0,0,0,0,0,0,0,0,0,113,350,350,400,350,350,800,500,3950,4100
N9,516,1400,0,500,500,500,500,500,1000,650,800,9000,0,550,550,1000,450,1000,1500,1100,2050,4400
N10,0,7420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N11,0,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
N12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1,1100,2280,0,0,0,0,0,0,0,0,1650,23500,332,700,700,1050,750,800,1100,950,9350,19400
Q2,8000,18600,84,0,0,600,0,500,1600,550,8000,64150,43,1450,1850,2400,1950,2650,4700,3150,5850,18600
Q3,3400,0,437,0,0,0,0,0,0,2000,3650,25050,0,0,0,0,0,0,0,0,0,0
Q4,6900,3800,620,0,0,1350,200,650,4350,900,3700,6900,439,100,850,1950,1000,1900,3800,3350,3800,3800
Q5,8000,3900,14,50,50,100,50,50,100,50,100,3400,0,0,0,100,100,100,100,150,150,3900
Q6,7533,3500,82,0,0,2000,0,2150,7550,2200,7450,20150,0,900,900,900,900,3500,3500,3500,4500,7550
Q7,2200,1100,468,0,2050,2150,0,2050,2150,350,2100,4500,0,0,0,1100,0,1100,1100,300,1100,5700
Q8,6992,5600,1484,0,2000,6300,0,3650,6700,1200,6700,7950,1788,2350,3150,5600,3300,5450,5600,4250,6100,6300
Q9,6100,3400,0,0,0,0,0,0,0,0,150,6100,0,0,0,0,0,0,0,200,200,900
S1,100,3200,225,0,0,0,0,0,0,0,0,100,324,600,600,800,0,200,900,650,800,1350
S2,4000,1400,55,0,0,1200,0,150,1500,1000,1100,4000,0,0,0,0,0,0,0,0,0,0
S3,1300,4600,0,0,0,0,0,0,0,0,0,1300,1731,450,600,2450,1200,1550,3600,2800,3850,4600
S4,0,1400,0,0,0,0,0,0,0,0,0,0,91,50,100,100,50,100,100,100,400,700
S5,2900,0,579,0,0,950,0,0,2650,800,2550,2900,416,0,0,0,0,0,0,0,0,0
S6,6500,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,3400,0,0,100,200,600,0,600,650,600,650,2750,0,0,0,0,0,0,0,0,0,0
S8,5000,2300,0,0,0,0,0,0,0,0,0,0,134,0,100,350,250,350,350,1050,1250,1300
S9,4000,1500,0,0,0,0,0,0,0,0,300,4000,0,0,0,0,0,0,0,0,250,1500
S10,0,20428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,300,1400,0,0,0,0,0,0,0,150,150,150,168,250,350,350,250,400,400,400,400,400
T2,150,5000,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,400,500,3200,4600,4600
T3,150,3400,0,0,0,0,0,0,0,150,150,150,144,700,1550,1550,1300,1400,2300,1400,9700,11450
T4,0,26150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V1,1000,0,0,0,0,0,0,0,600,550,550,650,0,0,0,0,0,0,0,1100,2900,4700
V2,4700,0,869,0,0,1650,350,1400,3950,1100,2900,4700,0,0,0,0,0,0,0,0,0,0
V3,400,2600,119,0,0,0,0,0,400,300,300,300,1934,700,700,1450,850,1650,2450,2300,2300,2300
V4,0,3442,0,0,0,0,0,0,0,0,0,0,3300,0,0,1300,800,850,3050,2050,2100,4500
V5,500,2000,160,0,0,0,0,0,350,2650,2650,9850,0,1100,1100,1100,2000,2000,2000,5100,5100,5100
V6,1700,1600,548,0,0,0,0,0,1400,1050,1200,1600,0,0,0,0,0,0,0,1200,1200,1200
V7,0,54996,0,0,0,0,0,0,0,0,0,0,0,0,8200,8200,0,8200,8200,0,8200,8200
V8,0,3330,0,0,0,0,0,0,0,0,0,0,0,0,780,780,0,780,780,0,780,780